SUP_ID,STA_NM_ANFR,NB_STATIONS_ANFR,NAT_ID,NAT_LB_NOM,latitude,longitude,SUP_NM_HAUT,ADR_LB_LIEU,ADR_LB_ADD1,ADR_NM_CP,COM_CD_INSEE,split,classe_niveau2,image
815673,782290047,1,4,Château d'eau - réservoir,49.0175,1.5680555555555555,"36,1",Hameau de Morvent,,78270,78089,train,chateau_eau,support_815673.jpg
555190,782700112,9,23,Pylône autostable,48.76027777777778,2.1713888888888886,38,,1 R DE LA LIBÉRATION,78350,78322,train,pylone,support_555190.jpg
627860,782750010,1,38,Immeuble,48.90638888888888,2.154444444444444,"20,7",,10 CHEM DES CHAMPS ROGER,78360,78418,train,batiment,support_627860.jpg
1990531,780990235,1,38,Immeuble,48.717777777777776,2.101388888888889,18,,2 SQUARE DE LA CURE,78114,78356,train,batiment,support_1990531.jpg
2899877,782700564,3,17,Bâtiment,48.78916666666667,2.0413888888888887,34,,4 Mail des Bétulas,78180,78423,train,batiment,support_2899877.jpg
2437970,782290581,1,48,pylône arbre,48.947222222222216,2.187222222222222,25,,103 R LÉON JOUHAUX,78500,78586,train,pylone,support_2437970.jpg
2973405,782700712,1,26,Pylône tubulaire,48.72972222222222,2.081388888888889,30,,3 Rue de la Planète Bleue,78114,78356,train,pylone,support_2973405.jpg
3302172,780034239,1,17,Bâtiment,48.98777777777778,1.763611111111111,12,,"4, r de rouen",78440,78501,train,batiment,support_3302172.jpg
1385677,782700331,2,17,Bâtiment,48.8525,2.038055555555556,"20,5",La Tuilerie Bignon,r henri frayssineau,78860,78571,train,batiment,support_1385677.jpg
2225619,780990277,2,17,Bâtiment,48.90083333333333,2.143611111111111,31,LES SABINETTES,RUE DES LANDES,78400,78146,train,batiment,support_2225619.jpg
3313226,780034311,1,42,Mât,48.73027777777778,1.701111111111111,4,,"14, ROUTE DE SAINT LEGER",78113,78171,train,mat,support_3313226.jpg
2556544,782751054,1,26,Pylône tubulaire,48.78666666666666,1.938055555555556,"31,6",,RTE D'ELANCOURT,78760,78321,train,pylone,support_2556544.jpg
513357,782700066,2,20,Monument religieux,48.64666666666667,1.823888888888889,56,,pl jeanne d'arc,78120,78517,train,autre_support,support_513357.jpg
3115363,780990505,1,38,Immeuble,48.93833333333333,2.0591666666666666,"33,7",,117 rue Saint Sebastien,78300,78498,train,batiment,support_3115363.jpg
1701010,780466063,1,23,Pylône autostable,48.98305555555556,1.8086111111111112,22,,PLACE DE L'EUROPE,78440,78267,train,pylone,support_1701010.jpg
437363,782700274,3,48,pylône arbre,48.94111111111111,1.871388888888889,37,,CARREFOUR DE LA HAUTE BORNE,78580,78049,train,pylone,support_437363.jpg
2216003,782750968,1,38,Immeuble,48.719722222222224,2.103333333333333,"16,7",,1 SQUARE DE LA BARRERIE,78114,78356,train,batiment,support_2216003.jpg
546396,782700035,2,38,Immeuble,48.76833333333333,1.9491666666666667,"32,3",,1 pl mendès france,78990,78208,train,batiment,support_546396.jpg
951133,780031005,1,42,Mât,48.95388888888889,1.6377777777777778,10,,RD 938 RTE DE FAVRIEUX,78200,78245,train,mat,support_951133.jpg
834935,782750282,1,26,Pylône tubulaire,48.83694444444445,2.129166666666667,27,,14 AV DU PUIT D'ANGLE,78170,78126,train,pylone,support_834935.jpg
3302170,780034238,1,39,Local technique,48.98833333333334,1.7633333333333334,3,,"5, r de rouen",78440,78501,train,batiment,support_3302170.jpg
2690397,782700537,1,38,Immeuble,48.9025,2.136388888888889,16,,11 ROUTE DE MONTESSON,78110,78650,train,batiment,support_2690397.jpg
467036,782290406,4,4,Château d'eau - réservoir,49.03444444444444,1.5675,"54,8",Bois Cahue,ZI - RN 13,78270,78089,train,chateau_eau,support_467036.jpg
867956,782700118,1,38,Immeuble,48.7975,2.123333333333333,"19,2",,7 r maréchal joffre,78000,78646,train,batiment,support_867956.jpg
816605,782290279,1,38,Immeuble,48.99722222222222,1.7094444444444443,21,,18 r Maurice Braunstein,78200,78361,train,batiment,support_816605.jpg
622013,780030974,4,23,Pylône autostable,48.5525,1.931944444444444,70,,Gare de Péage - A10,78730,78537,train,pylone,support_622013.jpg
2284920,782290561,1,17,Bâtiment,48.8,2.1286111111111112,"14,7",,AVENUE DE SCEAUX ,78000,78646,train,batiment,support_2284920.jpg
2685101,782751084,1,23,Pylône autostable,48.905,2.056388888888889,20,,6 ALLEE DE POMONE,78100,78551,train,pylone,support_2685101.jpg
895684,780030700,1,4,Château d'eau - réservoir,48.712500000000006,2.044722222222222,28,,r de la butte des vignes,78460,78160,train,chateau_eau,support_895684.jpg
3352185,782700057,1,17,Bâtiment,48.92444444444444,2.0483333333333333,"44,7",,48-52 Avenue Fernand Lefèbvre,78300,78498,train,batiment,support_3352185.jpg
2670965,782290615,1,26,Pylône tubulaire,48.94499999999999,1.7916666666666663,"31,2",LA CONCHE,Chemin de la CONCHE,78970,78402,train,pylone,support_2670965.jpg
1616424,780461326,1,32,"Ouvrage d'art (pont, viaduc)",48.98416666666667,1.6275,"8,4",,Les beurons chatons,78200,78484,train,autre_support,support_1616424.jpg
1719554,780990159,1,38,Immeuble,48.64555555555555,1.8375,"19,5",,20 rue Auguste Moutié,78120,78517,train,batiment,support_1719554.jpg
1672761,780990149,1,26,Pylône tubulaire,48.623333333333335,1.823611111111111,36,,2 rue de Cutesson,78125,78269,train,pylone,support_1672761.jpg
816712,782290189,2,4,Château d'eau - réservoir,48.96111111111112,2.144722222222222,35,,av jacques laffitte,78600,78358,train,chateau_eau,support_816712.jpg
3290346,780034119,1,19,Monument historique,48.80138888888889,2.13,45,,"4, av de paris",78000,78646,train,autre_support,support_3290346.jpg
1345754,780031196,1,42,Mât,48.9875,1.7680555555555555,11,,ANCIE CHEMIN DE ROUEN A PARIS,78440,78501,train,mat,support_1345754.jpg
1466271,780460340,1,23,Pylône autostable,48.94111111111111,2.058055555555556,20,,AVENUE DE PONTOISE,78300,78498,train,pylone,support_1466271.jpg
2577419,780990351,1,38,Immeuble,48.918055555555554,2.037777777777777,"14,9",,29 rue Saint Barthélémy,78300,78498,train,batiment,support_2577419.jpg
1942426,780180027,1,17,Bâtiment,48.79333333333333,2.118611111111111,13,,2 BIS AVENUE CLEMENT ADER,78000,78646,train,batiment,support_1942426.jpg
526911,782700117,1,38,Immeuble,48.7975,2.0675000000000003,19,,17-21 R André Cordier,78210,78545,train,batiment,support_526911.jpg
553278,782290432,3,49,"Ouvrage de signalisation (portique routier, panneau routier)",48.83694444444445,2.127222222222222,8,,A13 sens Paris-Province,78170,78126,train,autre_support,support_553278.jpg
2737268,782751095,1,38,Immeuble,48.70305555555556,2.078055555555556,"12,1",,39 R PIERRE  CURIE,78470,78575,train,batiment,support_2737268.jpg
1601403,782290522,2,20,Monument religieux,48.94888888888889,2.145555555555556,50,,13 Rue de la Muette,78600,78358,train,autre_support,support_1601403.jpg
1922302,780990216,1,26,Pylône tubulaire,48.75888888888889,2.045555555555556,"19,5",,AVENUE DU GRAND PRÉ,78960,78688,train,pylone,support_1922302.jpg
867947,782700153,1,38,Immeuble,48.973055555555554,2.027222222222222,21,,"10- 16, r de l'echo",78570,78138,train,batiment,support_867947.jpg
508208,782290249,5,23,Pylône autostable,49.025277777777774,1.593611111111111,30,Les Coutumes,Domaine du Galicet,78840,78255,train,pylone,support_508208.jpg
443355,782700048,3,4,Château d'eau - réservoir,48.85444444444445,1.8191666666666664,47,,r des châtaigniers,78770,78364,train,chateau_eau,support_443355.jpg
2683820,780990343,2,23,Pylône autostable,48.90972222222222,2.005,32,,CHEM DE LA BIDONNIERE AU POULT,78300,78498,train,pylone,support_2683820.jpg
815751,782290088,4,4,Château d'eau - réservoir,48.62222222222222,1.9077777777777776,39,Les Frémillons,chem des frémillons,78120,78164,train,chateau_eau,support_815751.jpg
1662012,782290525,1,38,Immeuble,48.93138888888889,2.0391666666666666,20,,2 avenue Maurice Berteaux,78300,78498,train,batiment,support_1662012.jpg
532167,782290175,4,23,Pylône autostable,48.74361111111112,2.045,"36,7",,7 R JEANNE ET PAUL WEISS - BROUESSY,78114,78356,train,pylone,support_532167.jpg
1246785,782290426,1,20,Monument religieux,48.814166666666665,2.141111111111111,18,,7 Av de Villeneuve L'Etang,78000,78646,train,autre_support,support_1246785.jpg
1465959,780990082,2,23,Pylône autostable,48.76138888888889,2.1358333333333333,32,,53 R DU TROU SALE,78350,78343,train,pylone,support_1465959.jpg
955944,782700319,2,17,Bâtiment,49.0475,1.478888888888889,"14,3",,pl st hilaire,78270,78068,train,batiment,support_955944.jpg
3034953,780466059,1,42,Mât,48.77833333333333,2.0175,10,,2 Allée du Stade,78190,78621,train,mat,support_3034953.jpg
1538941,780461329,1,12,Mât métallique,48.87277777777778,2.0872222222222225,22,,Rue du CHANT DES OISEAUX,78160,78372,train,mat,support_1538941.jpg
541547,782750244,2,23,Pylône autostable,48.95583333333334,2.094444444444445,"47,9",ACHÈRES GARE GRAND CORMIER,GARE D'ACHERES FORET DE ST GERMAIN-N184,78100,78551,train,pylone,support_541547.jpg
437760,782290184,4,4,Château d'eau - réservoir,48.50666666666667,1.9183333333333328,33,Bois des Bouleaux,La Vieille Tour Ruine,78660,78564,train,chateau_eau,support_437760.jpg
2955276,780990469,2,23,Pylône autostable,48.98083333333334,1.7544444444444445,21,,104 Bd Pasteur,78520,78335,train,pylone,support_2955276.jpg
466815,782290201,1,32,"Ouvrage d'art (pont, viaduc)",48.83611111111112,2.088611111111111,9,,PMV Sirius - A12 PK 1.4 - sens Province-Paris,78870,78043,train,autre_support,support_466815.jpg
1291835,782700434,1,17,Bâtiment,48.94,2.048888888888889,18,,45 rue Jean Pierre Timbaud,78300,78498,train,batiment,support_1291835.jpg
1424786,780230005,4,4,Château d'eau - réservoir,49.05972222222222,1.763611111111111,60,,"61, Grande Rue",78440,78202,train,chateau_eau,support_1424786.jpg
723529,782290019,1,38,Immeuble,48.925,2.160833333333333,33,,11 r du bas de la plaine,78500,78586,train,batiment,support_723529.jpg
2617660,780990364,1,26,Pylône tubulaire,48.799166666666665,1.9791666666666667,"31,2",,Avenue Gay Lussac,78990,78208,train,pylone,support_2617660.jpg
2684605,782700529,1,17,Bâtiment,48.99055555555556,1.7416666666666667,"18,5",,9 RUE DU 11 NOVEMBRE,78520,78335,train,batiment,support_2684605.jpg
1546040,782290516,1,38,Immeuble,48.99194444444444,1.7416666666666667,"16,5",,15 Rue de la Chasse,78520,78335,train,batiment,support_1546040.jpg
