SUP_ID,image,status,classe_niveau2,classe_multi,group_id,split_compare,latitude,longitude
895684,support_895684.jpg,visible,chateau_eau,chateau_eau,27,train,48.712500000000006,2.044722222222222
3352185,support_3352185.jpg,visible,batiment,batiment,28,train,48.92444444444444,2.0483333333333333
2670965,support_2670965.jpg,visible,pylone,pylone_mat,29,train,48.94499999999999,1.7916666666666663
1616424,support_1616424.jpg,visible,autre_support,autre_support,30,train,48.98416666666667,1.6275
1719554,support_1719554.jpg,visible,batiment,batiment,31,train,48.64555555555555,1.8375
1672761,support_1672761.jpg,non_visible,pylone,negative,32,train,48.623333333333335,1.823611111111111
816712,support_816712.jpg,visible,chateau_eau,chateau_eau,33,train,48.96111111111112,2.144722222222222
3290346,support_3290346.jpg,visible,autre_support,autre_support,26,val,48.80138888888889,2.13
1466271,support_1466271.jpg,visible,pylone,pylone_mat,34,train,48.94111111111111,2.058055555555556
1942426,support_1942426.jpg,visible,batiment,batiment,35,train,48.79333333333333,2.118611111111111
526911,support_526911.jpg,visible,batiment,batiment,36,train,48.7975,2.0675000000000003
553278,support_553278.jpg,non_visible,autre_support,negative,21,val,48.83694444444445,2.127222222222222
2737268,support_2737268.jpg,visible,batiment,batiment,37,train,48.70305555555556,2.078055555555556
1601403,support_1601403.jpg,visible,autre_support,autre_support,38,train,48.94888888888889,2.145555555555556
1922302,support_1922302.jpg,visible,pylone,pylone_mat,2,val,48.75888888888889,2.045555555555556
867947,support_867947.jpg,visible,batiment,batiment,39,train,48.973055555555554,2.027222222222222
508208,support_508208.jpg,visible,pylone,pylone_mat,40,train,49.025277777777774,1.593611111111111
443355,support_443355.jpg,visible,chateau_eau,chateau_eau,41,train,48.85444444444445,1.8191666666666664
2683820,support_2683820.jpg,visible,pylone,pylone_mat,42,train,48.90972222222222,2.005
815751,support_815751.jpg,visible,chateau_eau,chateau_eau,43,train,48.62222222222222,1.9077777777777776
1246785,support_1246785.jpg,visible,autre_support,autre_support,44,train,48.814166666666665,2.141111111111111
1465959,support_1465959.jpg,visible,pylone,pylone_mat,45,train,48.76138888888889,2.1358333333333333
3034953,support_3034953.jpg,non_visible,mat,negative,46,train,48.77833333333333,2.0175
1538941,support_1538941.jpg,non_visible,mat,negative,47,train,48.87277777777778,2.0872222222222225
541547,support_541547.jpg,visible,pylone,pylone_mat,48,train,48.95583333333334,2.094444444444445
437760,support_437760.jpg,visible,chateau_eau,chateau_eau,49,train,48.50666666666667,1.9183333333333328
2955276,support_2955276.jpg,visible,pylone,pylone_mat,50,train,48.98083333333334,1.7544444444444445
466815,support_466815.jpg,non_visible,autre_support,negative,51,train,48.83611111111112,2.088611111111111
1424786,support_1424786.jpg,visible,chateau_eau,chateau_eau,52,train,49.05972222222222,1.763611111111111
723529,support_723529.jpg,visible,batiment,batiment,53,train,48.925,2.160833333333333
2617660,support_2617660.jpg,visible,pylone,pylone_mat,54,train,48.799166666666665,1.9791666666666667
2684605,support_2684605.jpg,visible,batiment,batiment,55,val,48.99055555555556,1.7416666666666667
1546040,support_1546040.jpg,visible,batiment,batiment,55,val,48.99194444444444,1.7416666666666667
