candidate_id,detection_id,image,row,col,confidence,x1,y1,x2,y2,center_x,center_y,latitude,longitude,nearest_SUP_ID,nearest_ANFR_latitude,nearest_ANFR_longitude,nearest_ANFR_distance_m,nearest_ANFR_nature,nearest_ANFR_height,review_status,review_comment,unique_candidate_id,detections_in_cluster,cluster_candidate_ids,cluster_max_confidence,cluster_max_distance_anfr_m
C010,126,pilot_r04_c01.jpg,4,1,0.2120320349931717,608.7561645507812,595.6898193359375,879.2360229492188,865.8804931640625,743.99609375,730.78515625,48.7934949457029,2.12787686730735,834924,48.79472222222222,2.126111111111112,188.0246713352876,Immeuble,25,plausible,,U008,1,C010,0.2120320349931717,188.0246713352876
C020,33,pilot_r00_c04.jpg,0,4,0.1708699911832809,447.0635681152344,385.6629638671875,760.9500732421875,578.713623046875,604.0068206787109,482.1882934570313,48.80117113905942,2.13574113291088,2865412,48.8,2.1344444444444446,161.17772488141486,Bâtiment,4,plausible,,U016,1,C020,0.1708699911832809,161.17772488141486
C006,34,pilot_r00_c04.jpg,0,4,0.1681292951107025,866.8941650390625,363.029052734375,1024.0,669.79833984375,945.4470825195312,516.4136962890625,48.801110672950514,2.1366569470592367,2865412,48.8,2.1344444444444446,203.7457609993545,Bâtiment,4,plausible,,U005,1,C006,0.1681292951107025,203.7457609993545
C023,90,pilot_r02_c03.jpg,2,3,0.1286014765501022,222.28826904296875,0.505157470703125,354.3204345703125,134.3356475830078,288.3043518066406,67.42040252685547,48.79828562235258,2.132147770871597,2537641,48.797777777777775,2.1341666666666668,158.29120370802485,Immeuble,26,plausible,,U018,1,C023,0.1286014765501022,158.29120370802485
C028,127,pilot_r04_c01.jpg,4,1,0.1207625716924667,229.37310791015625,738.5497436523438,299.147705078125,818.8858032226562,264.2604064941406,778.7177734375,48.79341025004257,2.1265901159222267,834924,48.79472222222222,2.126111111111112,150.0451651892845,Immeuble,25,plausible,,U022,1,C028,0.1207625716924667,150.0451651892845
C008,55,pilot_r01_c03.jpg,1,3,0.1206693947315216,212.48814392089844,458.690673828125,309.7564697265625,578.9334716796875,261.12230682373047,518.8120727539062,48.79929729837577,2.132074862945501,2865412,48.8,2.1344444444444446,190.3345923415368,Bâtiment,4,plausible,,U007,1,C008,0.1206693947315216,190.3345923415368
C027,106,pilot_r03_c01.jpg,3,1,0.1137395426630973,568.269775390625,435.7380065917969,794.592041015625,726.545654296875,681.430908203125,581.1418304443359,48.79556869764888,2.127709054402658,834924,48.79472222222222,2.126111111111112,150.19954016384875,Immeuble,25,plausible,,U021,1,C027,0.1137395426630973,150.19954016384875
C001,132,pilot_r04_c02.jpg,4,2,0.0978523716330528,344.84893798828125,0.0,461.66302490234375,85.19976806640625,403.2559814453125,42.599884033203125,48.794710935021385,2.129709513137641,834924,48.79472222222222,2.126111111111112,263.5886066714844,Immeuble,25,plausible,,U001,1,C001,0.0978523716330528,263.5886066714844
C016,107,pilot_r03_c01.jpg,3,1,0.0917402580380439,546.6044921875,291.914306640625,673.483642578125,479.242919921875,610.0440673828125,385.57861328125,48.79591423688957,2.127517579974665,834924,48.79472222222222,2.126111111111112,167.8760233609196,Immeuble,25,plausible,,U014,1,C016,0.0917402580380439,167.8760233609196
C012,128,pilot_r04_c01.jpg,4,1,0.0812201052904129,895.149169921875,321.0822448730469,995.49853515625,415.0414733886719,945.3238525390624,368.0618591308594,48.79413586349145,2.128416870436922,834924,48.79472222222222,2.126111111111112,181.0472997339804,Immeuble,25,plausible,,U010,1,C012,0.0812201052904129,181.0472997339804
C004,112,pilot_r03_c02.jpg,3,2,0.0730527117848396,560.1829833984375,793.9088134765625,719.6314697265625,991.5775146484376,639.9072265625,892.7431640625,48.79501812657819,2.13034426124068,2865414,48.79555555555555,2.1333333333333333,226.95808266759803,Intérieur sous-terrain,0,plausible,,U003,1,C004,0.0730527117848396,226.95808266759803
