detection_id,zone_id,image,row,col,confidence,x1,y1,x2,y2,center_x,center_y,latitude,longitude,nearest_SUP_ID,nearest_ANFR_latitude,nearest_ANFR_longitude,nearest_ANFR_distance_m,nearest_ANFR_nature,nearest_ANFR_height,detections_in_cluster,cluster_detection_ids,cluster_max_confidence,cluster_max_distance_anfr_m,review_status,review_comment,review_origin,old_unique_candidate_id,unique_candidate_id
165,peu_dense,peu_dense_r02_c01.jpg,2,1,0.1412363052368164,192.21383666992188,820.8148193359375,211.2841186523437,837.8133544921875,201.7489776611328,829.3140869140625,49.07388643432162,1.5094768228527755,458152,49.074444444444445,1.5130555555555556,267.96416850782344,Silo,26,1,165,0.1412363052368164,267.96416850782344,,,,,P009
173,peu_dense,peu_dense_r04_c02.jpg,4,2,0.1383712589740753,938.716552734375,343.20086669921875,961.2723388671876,360.5123901367188,949.9944458007812,351.85662841796875,49.07112679579878,1.5142303556240222,458152,49.074444444444445,1.5130555555555556,378.7020067002115,Silo,26,1,173,0.1383712589740753,378.7020067002115,,,,,P010
174,peu_dense,peu_dense_r04_c03.jpg,4,3,0.1354232281446457,214.00408935546875,710.1041259765625,265.1513061523437,771.0863037109375,239.57769775390625,740.59521484375,49.07044371009996,1.5150714514493302,458152,49.074444444444445,1.5130555555555556,468.4721142736731,Silo,26,1,174,0.1354232281446457,468.4721142736731,,,,,P011
170,peu_dense,peu_dense_r03_c01.jpg,3,1,0.1352313458919525,437.72357177734375,765.0996704101562,474.7913208007813,800.0292358398438,456.2574462890625,782.564453125,49.07216930193593,1.510159467761696,458152,49.074444444444445,1.5130555555555556,329.4015312657995,Silo,26,1,170,0.1352313458919525,329.4015312657995,,,,,P012
162,peu_dense,peu_dense_r02_c00.jpg,2,0,0.0692197307944297,862.118408203125,0.8648300170898438,928.229248046875,39.58167266845703,895.173828125,20.22325134277344,49.07530804769206,1.5085901512065902,458152,49.074444444444445,1.5130555555555556,339.14288765185245,Silo,26,1,162,0.0692197307944297,339.14288765185245,,,,,P013
159,peu_dense,peu_dense_r00_c04.jpg,0,4,0.0686893090605735,968.1722412109376,276.7963256835937,997.1881103515624,310.07537841796875,982.68017578125,293.43585205078125,49.078426296090505,1.5198111896461342,458152,49.074444444444445,1.5130555555555556,661.9454059134603,Silo,26,1,159,0.0686893090605735,661.9454059134603,,,,,P014
163,peu_dense,peu_dense_r02_c00.jpg,2,0,0.0677631795406341,60.93009948730469,958.5509033203124,147.39207458496094,1024.0,104.1610870361328,991.2754516601562,49.07360185515501,1.5064684897015468,458152,49.074444444444445,1.5130555555555556,488.8772674848299,Silo,26,1,163,0.0677631795406341,488.8772674848299,,,,,P015
161,peu_dense,peu_dense_r01_c01.jpg,1,1,0.0658249333500862,301.40252685546875,313.1668701171875,345.24322509765625,349.9398193359375,323.3228759765625,331.5533447265625,49.07656021093153,1.5098029094588128,458152,49.074444444444445,1.5130555555555556,333.8874162560286,Silo,26,1,161,0.0658249333500862,333.8874162560286,,,,,P016
154,peu_dense,peu_dense_r00_c00.jpg,0,0,0.059472132474184,927.5472412109376,192.5642852783203,962.2738037109376,226.06748962402344,944.9105224609376,209.31588745117188,49.07857408749432,1.508723555416509,458152,49.074444444444445,1.5130555555555556,557.1570023604681,Silo,26,1,154,0.059472132474184,557.1570023604681,,,,,P017
168,peu_dense,peu_dense_r02_c04.jpg,2,4,0.0547501556575298,861.7952880859375,27.78166961669922,883.2374267578125,52.479888916015625,872.516357421875,40.13077926635742,49.075273069650486,1.5195157072594156,458152,49.074444444444445,1.5130555555555556,479.49865874838576,Silo,26,1,168,0.0547501556575298,479.49865874838576,,,,,P018
164,peu_dense,peu_dense_r02_c00.jpg,2,0,0.0545335002243518,769.763427734375,465.09759521484375,804.767578125,502.30670166015625,787.2655029296875,483.7021484375,49.07449369689141,1.5083007185239694,458152,49.074444444444445,1.5130555555555556,346.3922895816249,Silo,26,1,164,0.0545335002243518,346.3922895816249,,,,,P019
